packet_no,timestamp,src_ip,dst_ip,src_port,dst_port,transport_proto,tcp_seq,tcp_flags,additional,bytes_transferred
1,1728941759403,192.168.29.130,23.205.105.134,48316,80,TCP,619700,A,'',54
2,1728941759403,192.168.29.130,34.107.221.82,46668,80,TCP,2565858993,A,'',54
3,1728941759403,192.168.29.130,23.205.105.134,48322,80,TCP,1778627956,A,'',54
4,1728941759948,192.168.29.130,23.205.105.175,38804,80,TCP,2850755535,A,'',54
5,1728941759948,23.205.105.175,192.168.29.130,80,38804,TCP,1783967978,A,'',60
6,1728941760428,192.168.29.130,34.107.221.82,46668,80,TCP,2565858993,A,'',54
7,1728941760428,34.107.221.82,192.168.29.130,80,46668,TCP,1061435265,A,'',60
8,1728941760432,192.168.29.130,23.205.105.134,48322,80,TCP,1778627956,A,'',54
9,1728941760432,192.168.29.130,23.205.105.134,48316,80,TCP,619700,A,'',54
10,1728941760432,23.205.105.134,192.168.29.130,80,48322,TCP,1254052940,A,'',60
11,1728941760432,23.205.105.134,192.168.29.130,80,48316,TCP,1371809745,A,'',60
12,1728941762892,192.168.29.130,192.168.29.2,59530,53,UDP,N/A,N/A,'',74
13,1728941762892,192.168.29.130,192.168.29.2,59530,53,UDP,N/A,N/A,'',74
14,1728941762910,192.168.29.2,192.168.29.130,53,59530,UDP,N/A,N/A,'',125
15,1728941762910,192.168.29.2,192.168.29.130,53,59530,UDP,N/A,N/A,'',167
16,1728941762910,192.168.29.130,146.75.37.140,54824,443,TCP,2104510194,S,'',74
17,1728941762931,146.75.37.140,192.168.29.130,443,54824,TCP,396634430,SA,'',60
18,1728941762931,192.168.29.130,146.75.37.140,54824,443,TCP,2104510195,A,'',54
19,1728941762932,192.168.29.130,146.75.37.140,54824,443,TCP,2104510195,PA,'',716
20,1728941762932,146.75.37.140,192.168.29.130,443,54824,TCP,396634431,A,'',60
21,1728941762945,192.168.29.130,146.75.37.140,54828,443,TCP,3637476578,S,'',74
22,1728941762952,146.75.37.140,192.168.29.130,443,54824,TCP,396634431,PA,'',4253
23,1728941762952,192.168.29.130,146.75.37.140,54824,443,TCP,2104510857,A,'',54
24,1728941762955,192.168.29.130,146.75.37.140,54824,443,TCP,2104510857,PA,'',118
25,1728941762955,146.75.37.140,192.168.29.130,443,54824,TCP,396638630,A,'',60
26,1728941762955,192.168.29.130,146.75.37.140,54824,443,TCP,2104510921,PA,'',224
27,1728941762956,146.75.37.140,192.168.29.130,443,54824,TCP,396638630,A,'',60
28,1728941762963,146.75.37.140,192.168.29.130,443,54828,TCP,783247950,SA,'',60
29,1728941762963,192.168.29.130,146.75.37.140,54828,443,TCP,3637476579,R,'',54
30,1728941762985,146.75.37.140,192.168.29.130,443,54824,TCP,396638630,PA,'',119
31,1728941762985,192.168.29.130,146.75.37.140,54824,443,TCP,2104511091,PA,'',85
32,1728941762985,146.75.37.140,192.168.29.130,443,54824,TCP,396638695,A,'',60
33,1728941763809,192.168.29.130,192.168.29.2,36028,53,UDP,N/A,N/A,'',80
34,1728941763809,192.168.29.130,192.168.29.2,44581,53,UDP,N/A,N/A,'',84
35,1728941763809,192.168.29.130,192.168.29.2,44581,53,UDP,N/A,N/A,'',84
36,1728941763809,192.168.29.130,192.168.29.2,36028,53,UDP,N/A,N/A,'',80
37,1728941763809,192.168.29.130,192.168.29.2,46915,53,UDP,N/A,N/A,'',75
38,1728941763809,192.168.29.130,192.168.29.2,46915,53,UDP,N/A,N/A,'',75
39,1728941763827,192.168.29.2,192.168.29.130,53,36028,UDP,N/A,N/A,'',141
40,1728941763827,192.168.29.2,192.168.29.130,53,46915,UDP,N/A,N/A,'',136
41,1728941763827,192.168.29.2,192.168.29.130,53,46915,UDP,N/A,N/A,'',148
42,1728941763827,192.168.29.2,192.168.29.130,53,44581,UDP,N/A,N/A,'',157
43,1728941763827,192.168.29.2,192.168.29.130,53,44581,UDP,N/A,N/A,'',145
44,1728941763828,192.168.29.130,192.168.29.2,56610,53,UDP,N/A,N/A,'',81
45,1728941763828,192.168.29.130,192.168.29.2,56794,53,UDP,N/A,N/A,'',82
46,1728941763828,192.168.29.130,192.168.29.2,56794,53,UDP,N/A,N/A,'',82
47,1728941763828,192.168.29.130,146.75.29.140,35112,443,TCP,3109775171,S,'',74
48,1728941763828,192.168.29.130,192.168.29.2,56610,53,UDP,N/A,N/A,'',81
49,1728941763828,192.168.29.130,146.75.29.140,35128,443,TCP,3223030666,S,'',74
50,1728941763829,192.168.29.2,192.168.29.130,53,36028,UDP,N/A,N/A,'',153
51,1728941763832,192.168.29.130,192.168.29.2,59749,53,UDP,N/A,N/A,'',74
52,1728941763832,192.168.29.130,192.168.29.2,59749,53,UDP,N/A,N/A,'',74
53,1728941763832,192.168.29.130,146.75.29.140,35144,443,TCP,2476112064,S,'',74
54,1728941763834,192.168.29.130,146.75.37.140,54824,443,TCP,2104511122,PA,'',1626
55,1728941763834,146.75.37.140,192.168.29.130,443,54824,TCP,396638695,A,'',60
56,1728941763834,146.75.37.140,192.168.29.130,443,54824,TCP,396638695,A,'',60
57,1728941763847,146.75.29.140,192.168.29.130,443,35112,TCP,596181958,SA,'',60
58,1728941763847,146.75.29.140,192.168.29.130,443,35128,TCP,246824092,SA,'',60
59,1728941763847,192.168.29.130,146.75.29.140,35112,443,TCP,3109775172,A,'',54
60,1728941763847,192.168.29.130,146.75.29.140,35128,443,TCP,3223030667,A,'',54
61,1728941763847,192.168.29.2,192.168.29.130,53,56610,UDP,N/A,N/A,'',142
62,1728941763848,192.168.29.130,146.75.29.140,35112,443,TCP,3109775172,PA,'',717
63,1728941763849,146.75.29.140,192.168.29.130,443,35112,TCP,596181959,A,'',60
64,1728941763849,192.168.29.130,146.75.29.140,35128,443,TCP,3223030667,PA,'',726
65,1728941763849,146.75.29.140,192.168.29.130,443,35128,TCP,246824093,A,'',60
66,1728941763853,146.75.29.140,192.168.29.130,443,35144,TCP,297227564,SA,'',60
67,1728941763853,192.168.29.2,192.168.29.130,53,56610,UDP,N/A,N/A,'',154
